global_step,update,mode,eval_kind,episode_index,stage_id,stage_label,n_obstacles,seed,return,episode_length,success,collision,out_of_bounds,timeout,event,mission_distance,final_distance,min_distance,progress_total,path_length,path_ratio,path_efficiency,mean_speed,max_speed,mean_surge_speed,mean_abs_roll,max_abs_roll,mean_abs_pitch,max_abs_pitch,mean_abs_heading_error,max_abs_heading_error,mean_cross_track_error,max_cross_track_error,final_path_progress_fraction,mean_min_obstacle_clearance,min_obstacle_clearance,clearance_breach_steps,mean_action_l2,mean_action_delta_l2,mean_propeller_rps,mean_abs_propeller_rps,mean_target_alignment,mean_abs_depth_error,mean_current_speed,max_current_speed,reward_total_check,rc_window_mean__progress_reward,rc_cumulative_sum__progress_reward,rc_trigger_rate__progress_reward,rc_window_mean__step_penalty,rc_cumulative_sum__step_penalty,rc_trigger_rate__step_penalty,rc_window_mean__action_l2_penalty,rc_cumulative_sum__action_l2_penalty,rc_trigger_rate__action_l2_penalty,rc_window_mean__action_smooth_penalty,rc_cumulative_sum__action_smooth_penalty,rc_trigger_rate__action_smooth_penalty,rc_window_mean__roll_penalty,rc_cumulative_sum__roll_penalty,rc_trigger_rate__roll_penalty,rc_window_mean__pitch_penalty,rc_cumulative_sum__pitch_penalty,rc_trigger_rate__pitch_penalty,rc_window_mean__obstacle_clearance_penalty,rc_cumulative_sum__obstacle_clearance_penalty,rc_trigger_rate__obstacle_clearance_penalty,rc_window_mean__orbit_penalty,rc_cumulative_sum__orbit_penalty,rc_trigger_rate__orbit_penalty,rc_window_mean__goal_bonus,rc_cumulative_sum__goal_bonus,rc_trigger_rate__goal_bonus,rc_window_mean__collision_penalty,rc_cumulative_sum__collision_penalty,rc_trigger_rate__collision_penalty,rc_window_mean__out_of_bounds_penalty,rc_cumulative_sum__out_of_bounds_penalty,rc_trigger_rate__out_of_bounds_penalty,rc_window_mean__timeout_penalty,rc_cumulative_sum__timeout_penalty,rc_trigger_rate__timeout_penalty
4096,1,train,,0,1,2.5D_no_obstacles,0,,-97.59734606748508,1148,0,0,1,0,out_of_bounds,80.1204557526516,94.57657402197755,80.1204557526516,-14.456118269325955,26.269456621902183,0.32787452811054174,0.0,0.4576560387090966,0.9469870661662391,0.35215469452923387,0.001373917884834744,0.011345880370632333,0.010213124433041322,0.040281840159554605,1.387523551297008,2.190175051974572,10.749462480130807,25.4688061128498,0.0,,,0,0.3933660078431538,0.6246209469991363,5.714529643738586,5.721318588334029,0.1342354254318734,6.022050100678889,0.28672853387399,0.3386191129684448,-97.59734606748509,-0.0015716882035356756,-1.8042980576589556,1.0,-0.006000000000000034,-6.888000000000039,1.0,-0.004720392094117844,-5.4190101240472845,1.0,-0.002498483787996541,-2.868259388620029,1.0,-2.747835771581313e-05,-0.031545154657753476,1.0,-0.0005106562216907948,-0.5862333425010324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06968641114982578,-80.0,0.0008710801393728223,0.0,0.0,0.0
4096,1,train,,1,1,2.5D_no_obstacles,0,,-97.0913671700473,1449,0,0,1,0,out_of_bounds,80.36727611608931,56.03081265452991,56.03081265452991,24.336463461559404,34.05071028364783,0.4236887440910912,0.7147123586801213,0.4699890998433083,1.1036869802984677,0.2937255351327018,0.0014981859136795326,0.014707722078953545,0.013682667351922695,0.04627178682972488,0.3479880419823057,0.67173743807037,7.459341731650027,16.11013599726193,0.3322550343310084,,,0,0.3922541072374252,0.6159906650390772,6.391400926815942,6.393269110703723,0.9146543500297816,3.5654748081588545,0.31298163673069823,0.36680474877357483,-97.09136717004743,0.0020898245799555668,3.0281558163556164,1.0,-0.006000000000000074,-8.694000000000107,1.0,-0.004707049286849111,-6.820514416644362,1.0,-0.0024639626601563073,-3.5702818945664894,1.0,-2.9963718249798512e-05,-0.04341742774395804,1.0,-0.0006841333660787675,-0.9913092474481342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05521048999309869,-80.0,0.0006901311249137336,0.0,0.0,0.0
8192,2,train,,0,1,2.5D_no_obstacles,0,,-116.22049001355222,2400,0,0,0,1,timeout,76.96758628919122,93.2700943876052,76.96758628919122,-16.30250809841398,37.62727148768114,0.48887165756119405,0.0,0.3135605957306756,0.5653681854775777,0.24883299439644158,0.0008119839124700135,0.011604508268900027,0.018860211392156673,0.06965907288247974,1.3170371150997067,1.871104140855003,16.93416034922158,37.33500562203436,0.0,,,0,0.40234334849694275,0.6054896364078256,2.901733768589919,2.980736535083586,0.1902403551933021,5.90541545936494,0.21670385460058847,0.2851174771785736,-116.22049001355255,-0.000882541864071215,-2.118100473770916,1.0,-0.0060000000000001346,-14.400000000000324,1.0,-0.004828120181963322,-11.587488436711972,1.0,-0.002421958545631306,-5.8127005095151345,1.0,-1.623967824618875e-05,-0.038975227790853,1.0,-0.000943010569068063,-2.263225365763351,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03333333333333333,-80.0,0.0004166666666666667
12288,3,train,,0,1,2.5D_no_obstacles,0,,-112.57023856614049,827,0,0,1,0,out_of_bounds,67.34613743997082,76.80142896549714,67.23805878531995,-9.45529152552632,23.615679913578617,0.35066123776777136,0.0,0.5711168056488174,1.0952816489021129,0.49957600846246414,0.0025940053161192422,0.01894064070654533,0.11556445925668112,0.20634086033405286,1.3629335107585117,2.7148985653044724,8.429265094216207,22.104531172722865,0.0,,,0,0.4471526195879625,0.5880340073187864,8.764512643485185,8.76993822578813,0.1435448722731522,2.447948647855945,0.24249578596170465,0.2755492627620697,-112.57023856614042,-0.0016976834764459519,-1.4039842350208023,1.0,-0.0059999999999999585,-4.961999999999966,1.0,-0.0053658314350555555,-4.437542596790944,1.0,-0.0023521360292751443,-1.9452164962105445,1.0,-5.188010634450201e-05,-0.04290484794690316,1.0,-0.005778222962722197,-4.7785903901712565,1.0,0.0,0.0,0.0,-0.018137847642079808,-15.0,0.018137847642079808,0.0,0.0,0.0,0.0,0.0,0.0,-0.09673518742442563,-80.0,0.0012091898428053204,0.0,0.0,0.0
12288,3,train,,1,1,2.5D_no_obstacles,0,,-117.78487684497554,2400,0,0,0,1,timeout,97.19368453570519,108.707285588378,97.19368453570519,-11.513601052672811,12.019555139557147,0.12366600975129849,0.0,0.1001629594963076,0.14021273879557344,-0.08288409991201699,0.0004962090617226645,0.012283265762382811,0.0019786912175343147,0.0071190623343202475,0.39972197547845395,0.6629372409238155,5.68485786282288,11.967868002568906,0.0,,,0,0.5713959709978856,0.5711258409914687,-1.1658830537361375,1.2213014745207982,0.9047820737050675,4.386856038680711,0.08641450954135507,0.1281869262456894,-117.78487684497584,-0.000493584927340073,-1.1846038256161753,1.0,-0.0060000000000001346,-14.400000000000324,1.0,-0.0068567516519746265,-16.456203964739103,1.0,-0.002284503363965877,-5.482808073518106,1.0,-9.924181244976642e-06,-0.02381803498794394,1.0,-9.893456088091184e-05,-0.2374429461141884,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03333333333333333,-80.0,0.0004166666666666667
16384,4,train,,0,1,2.5D_no_obstacles,0,,-134.47448426302086,2400,0,0,0,1,timeout,102.45119080410302,65.10874665516958,64.813000521735,37.34244414893344,48.35872652432293,0.47201722249172956,0.7721965988941283,0.40298938770269166,0.9475575205861161,0.3276910324428415,0.0019157342459194641,0.023088139715609746,0.07480483156719214,0.3417742299181117,0.7411236348166782,3.140389832058311,4.866765695689847,8.809150318956757,0.36583289076992054,,,0,0.47966730973440763,0.6079616297111109,3.8437206110472704,4.691260446632926,0.590624019965274,5.782623511370877,0.3325413935631514,0.3356010317802429,-134.47448426302117,0.0015187087242815253,3.6449009382756605,1.0,-0.0060000000000001346,-14.400000000000324,1.0,-0.005756007716812891,-13.814418520350937,1.0,-0.0024318465188444393,-5.8364316452266545,1.0,-3.8314684904853304e-05,-0.09195524377164793,1.0,-0.003740241579978032,-8.976579791947277,1.0,0.0,0.0,0.0,-0.00625,-15.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03333333333333333,-80.0,0.0004166666666666667
20480,5,train,,0,1,2.5D_no_obstacles,0,,-123.60049067897343,1458,0,0,1,0,out_of_bounds,44.38647831188853,51.37260750836058,43.578536093869005,-6.986129196472049,22.848216834508534,0.5147562434208447,0.0,0.3134186122703501,0.9354112002705622,0.2508336268181484,0.0023582409813548413,0.025023429233759664,0.0808666920736053,0.5261506572543166,1.531095849657831,2.816538670103931,10.152321688479743,20.427434315727826,0.0,,,0,0.5007822604599858,0.6092119773687598,3.474884048935803,3.932838104008271,-0.004567016175784384,0.3566297584653518,0.18196070203953646,0.24432340264320374,-123.60049067897361,-0.0010795143010343235,-1.5739318509080436,1.0,-0.006000000000000075,-8.74800000000011,1.0,-0.0060093871255198295,-8.761686429007911,1.0,-0.002436847909475044,-3.5529242520146145,1.0,-4.7164819574296176e-05,-0.06876630693932383,1.0,-0.004043334595407144,-5.895181840103616,1.0,0.0,0.0,0.0,-0.0102880658436214,-15.0,0.0102880658436214,0.0,0.0,0.0,0.0,0.0,0.0,-0.05486968449931413,-80.0,0.0006858710562414266,0.0,0.0,0.0
20480,5,train,,1,1,2.5D_no_obstacles,0,,-109.60637110935025,1924,0,0,1,0,out_of_bounds,70.15191752829821,90.30529891134495,70.15191752829821,-20.153381383046735,28.176490855789766,0.40164961769468094,0.0,0.29289491534084866,0.3302266228749198,-0.16502216130653793,0.0011414595798621096,0.0245285513846194,0.002025602507978169,0.028227131100569736,0.18808541749708382,0.3200427394747849,13.504005749255345,28.062363613964866,0.0,,,0,0.4352657752838968,0.6368696489621858,-0.257064610701477,0.6812388268131937,0.9786138748282625,0.9442932685929213,0.29567330758127996,0.34290724992752075,-109.60637110935045,-0.0014931495556545053,-2.8728197450792683,1.0,-0.006000000000000112,-11.544000000000215,1.0,-0.005223189303406772,-10.04941621975463,1.0,-0.00254747859584874,-4.901348818412975,1.0,-2.282919153536483e-05,-0.043923364514041933,1.0,-0.0001012801255661758,-0.19486296158932226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04158004158004158,-80.0,0.0005197505197505198,0.0,0.0,0.0
24576,6,train,,0,1,2.5D_no_obstacles,0,,-117.51207638743304,2400,0,0,0,1,timeout,92.14580584800865,102.90829749711972,92.14580584800865,-10.76249164911107,13.141411716260432,0.14261540821441987,0.0,0.10951176430216975,0.15284203659627058,-0.08230221593568948,0.00021819339827462852,0.0031910522529030594,0.0027025888257992095,0.013353254176729834,0.10077559162874215,0.21377550600622008,6.416431351473945,12.736332209607514,0.0,,,0,0.5420214627477495,0.6249051401986798,-0.8379547895743628,0.9925673182146716,0.9931398443515336,2.477656376611261,0.10429497088616092,0.1640370935201645,-117.51207638743338,-0.00048666040512573773,-1.1679849723017706,1.0,-0.0060000000000001346,-14.400000000000324,1.0,-0.0065042575529729914,-15.61021812713518,1.0,-0.0024996205607947255,-5.999089345907341,1.0,-4.363867966967515e-06,-0.010473283120722035,1.0,-0.0001351294412366806,-0.32431065896803346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03333333333333333,-80.0,0.0004166666666666667
28672,7,train,,0,1,2.5D_no_obstacles,0,,-102.03674289103739,1473,0,0,1,0,out_of_bounds,52.73733858118676,66.0866213263184,52.73733858118676,-13.349282745131632,25.311573165756005,0.4799554518055547,0.0,0.3436737700713663,0.4214077535619786,0.0879458702185292,0.0014494232937839727,0.018347382983236127,0.008262077136162541,0.023022180602161768,0.8024881611871527,1.066177645255936,12.03781798272744,24.599966614515296,0.0,,,0,0.34651415375506606,0.6604343904210767,2.9750418943808516,2.979715485674876,0.6704805572921264,0.6953850892813835,0.32921366295439003,0.356261283159256,-102.03674289103753,-0.0017184502982688001,-2.5312772893499424,1.0,-0.0060000000000000765,-8.838000000000113,1.0,-0.004158169845060791,-6.124984181774545,1.0,-0.0026417375616843053,-3.8912794283609817,1.0,-2.8988465885216552e-05,-0.04270001024892398,1.0,-0.0004131038569606356,-0.6085019813030162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05431093007467753,-80.0,0.0006788866259334691,0.0,0.0,0.0
