global_step,update,stage_id,stage_label,episodes,successes,success_rate,collision_rate,out_of_bounds_rate,timeout_rate,mean_return,mean_len,mean_final_distance,mean_min_distance,mean_path_ratio,mean_path_efficiency,mean_min_obstacle_clearance,min_obstacle_clearance,mean_speed,max_speed_mean,mean_action_l2,mean_action_delta_l2,mean_guided_action_l2,mean_abs_heading_error,max_abs_heading_error_mean,mean_cross_track_error,max_cross_track_error_mean,mean_abs_roll,mean_abs_pitch,mean_target_alignment,mean_current_speed,elapsed_sec,steps_per_sec,policy_loss,value_loss,entropy,approx_kl,clipfrac,log_std_mean,log_std_min,log_std_max,obs_rms_count,rc_window_mean__progress_reward,rc_cumulative_sum__progress_reward,rc_trigger_rate__progress_reward,rc_window_mean__closing_speed_reward,rc_cumulative_sum__closing_speed_reward,rc_trigger_rate__closing_speed_reward,rc_window_mean__alignment_reward,rc_cumulative_sum__alignment_reward,rc_trigger_rate__alignment_reward,rc_window_mean__step_penalty,rc_cumulative_sum__step_penalty,rc_trigger_rate__step_penalty,rc_window_mean__action_l2_penalty,rc_cumulative_sum__action_l2_penalty,rc_trigger_rate__action_l2_penalty,rc_window_mean__action_smooth_penalty,rc_cumulative_sum__action_smooth_penalty,rc_trigger_rate__action_smooth_penalty,rc_window_mean__roll_penalty,rc_cumulative_sum__roll_penalty,rc_trigger_rate__roll_penalty,rc_window_mean__pitch_penalty,rc_cumulative_sum__pitch_penalty,rc_trigger_rate__pitch_penalty,rc_window_mean__obstacle_clearance_penalty,rc_cumulative_sum__obstacle_clearance_penalty,rc_trigger_rate__obstacle_clearance_penalty,rc_window_mean__orbit_penalty,rc_cumulative_sum__orbit_penalty,rc_trigger_rate__orbit_penalty,rc_window_mean__goal_bonus,rc_cumulative_sum__goal_bonus,rc_trigger_rate__goal_bonus,rc_window_mean__collision_penalty,rc_cumulative_sum__collision_penalty,rc_trigger_rate__collision_penalty,rc_window_mean__out_of_bounds_penalty,rc_cumulative_sum__out_of_bounds_penalty,rc_trigger_rate__out_of_bounds_penalty,rc_window_mean__timeout_penalty,rc_cumulative_sum__timeout_penalty,rc_trigger_rate__timeout_penalty
4096,1,1,short_2.5D_no_current,7,7,100.0,0.0,0.0,0.0,805.2433743397636,537.5714285714286,1.2372898997798187,1.2372898997798187,0.9676647741764011,0.9994883892726412,0.0,0.0,1.3684553336117402,1.5756362957487757,0.622388800935261,0.5379580798149444,0.5656849752883727,0.014429399148380215,0.044036761165807015,0.15338479491292947,0.25300349685844586,0.0036791569997622086,0.054953516482220854,0.9994399458303136,0.0,27.1152983000502,151.05863688736986,-0.001730895007494837,8945.897657775879,1.2509774535894393,0.005699254103092244,0.028271484375,-1.0035861730575562,-1.0073740482330322,-1.0001766681671143,4104.0001,0.32384627519876474,1218.6335335729518,1.0,0.05475821425429619,206.05516023891656,1.0,0.007995490036331345,30.087029006714854,1.0,-0.0020000000000000013,-7.526000000000005,1.0,-0.0012445443298380817,-4.683220313180701,1.0,-0.0005378765171211718,-2.0240293339269693,1.0,-2.194047886596096e-05,-0.08256202197261109,1.0,-0.0009982170531908443,-3.7562907711571474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1161307467446187,4200.0,0.0018602179112410311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,2,1,short_2.5D_no_current,7,7,100.0,0.0,0.0,0.0,804.3070964370852,525.4285714285714,1.2320838547520403,1.2320838547520403,0.966511346438086,0.999634947058083,0.0,0.0,1.3546389392201663,1.5706768035066927,0.5969926160419264,0.5279022600533867,0.5555571900648409,0.014510761540801295,0.045151462905679986,0.11299934431282234,0.1826902471452833,0.003454652972183575,0.03491289762285997,0.9995766492958417,0.0,53.37057479994837,153.49281941793748,0.00016839216114021837,8947.477265930176,1.245550712198019,0.002854507291704067,0.0085205078125,-1.0036683082580566,-1.0085924863815308,-0.9964457750320435,8208.000100000001,0.3309842093440501,2435.993455540368,1.0,0.05423659960759719,405.537373595659,1.0,0.007996663721227839,59.49875817339085,1.0,-0.0020000000000000013,-14.88200000000001,1.0,-0.0011931396635591605,-9.071587995751294,1.0,-0.0005265688346677988,-3.9607495078351334,1.0,-2.0828336843366487e-05,-0.15916864488251303,1.0,-0.0006379812267127403,-6.1027857230066065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1419249592169658,8400.0,0.0019032082653616096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12288,3,1,short_2.5D_no_current,8,8,100.0,0.0,0.0,0.0,802.8337066916163,510.125,1.2286552837328295,1.2286552837328295,0.9644595701432104,0.9996410205137072,0.0,0.0,1.3375158502044693,1.5648933354871195,0.5739358814146096,0.5327394879236067,0.5442133911644332,0.014681713769506045,0.04293562772280135,0.10711443922956335,0.17612727298697894,0.0037135755662458378,0.03388839371204456,0.9995949341179067,0.0,80.30846129998099,153.0100290939444,-0.00027305019029881804,10146.306312561035,1.2427395939826966,0.0028562145940668414,0.0041015625,-1.0058319568634033,-1.0110231637954712,-1.0016303062438965,12313.000100000001,0.3401919739389318,3824.3169011851487,1.0,0.05371894432246279,624.7643853756297,1.0,0.007996815033885161,92.1337603266762,1.0,-0.0020000000000000013,-23.04400000000002,1.0,-0.0011502994218027857,-13.765959936128462,1.0,-0.0005330856136362192,-6.136271897084544,1.0,-2.1902976498641003e-05,-0.24855469197346697,1.0,-0.000586749734964215,-8.497311391395568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17618230825778,13200.0,0.0019603038470963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16384,4,1,short_2.5D_no_current,8,8,100.0,0.0,0.0,0.0,801.5907477877845,496.25,1.237628274193081,1.237628274193081,0.9640674187303815,0.9994887187005715,0.0,0.0,1.3338888565810816,1.5614909765460845,0.5787072394678223,0.545856177640723,0.5455990613533166,0.01655163160389947,0.050185982340835655,0.13313596746376313,0.21528536027617803,0.0038792675636623274,0.050436445739837875,0.9993939321884617,0.0,107.12180059996899,152.94739173759504,-0.0010263487289194017,10062.269227600098,1.2361260049045086,0.005060970739577897,0.0291259765625,-1.0079982280731201,-1.018566608428955,-1.0006835460662842,16418.0001,0.3495078813191108,5211.863190022019,1.0,0.053391153502736766,836.7272647814946,1.0,0.007995069668452493,123.8741869104326,1.0,-0.0020000000000000013,-30.984000000000023,1.0,-0.001157539846428837,-18.361393126450945,1.0,-0.0005464217743727845,-8.305566341344498,1.0,-2.3074028782521257e-05,-0.34015858624007633,1.0,-0.0009388617116792254,-12.224592386762094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2090680100755669,18000.0,0.0020151133501259445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20480,5,1,short_2.5D_no_current,7,7,100.0,0.0,0.0,0.0,803.2867278640653,521.4285714285714,1.2372202892472828,1.2372202892472828,0.9658406636435419,0.9993436012886738,0.0,0.0,1.3364169421119434,1.5568102728318405,0.5686220597521319,0.5560239678557636,0.5456477487943804,0.015874272456490254,0.048639934782225246,0.18071308915616344,0.28047813723906806,0.003665451446147582,0.060751224283426226,0.9993088906652302,0.0,134.25952049996704,152.54039284316548,-0.001004086621105671,8724.382833862304,1.233455777913332,0.00704163533373503,0.031982421875,-1.0072615146636963,-1.0200451612472534,-1.000795602798462,20522.0001,0.33319438204099067,6428.022684471634,1.0,0.05350982584747204,1032.0381291247675,1.0,0.007994329758633498,153.05349052944487,1.0,-0.0020000000000000013,-38.28400000000003,1.0,-0.0011367024285713694,-22.510356990736444,1.0,-0.0005562804897191411,-10.335990128819363,1.0,-2.2132619832593994e-05,-0.4209426486290444,1.0,-0.0011184645614506824,-16.306988036057085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1506849315068493,22200.0,0.0019178082191780822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24576,6,1,short_2.5D_no_current,7,7,100.0,0.0,0.0,0.0,804.990521696658,539.4285714285714,1.2324941324899708,1.2324941324899708,0.9669341850013412,0.9993741335452729,0.0,0.0,1.3477974179405472,1.5651084777433202,0.5874796427350838,0.5459319451519944,0.5511376278279664,0.021181901923358417,0.05451662444398294,0.21716865068721333,0.3300825605608974,0.0038086353611064905,0.04113587843145755,0.9993500010833062,0.0,175.00367180001922,140.43133922403393,-0.0011001113511156292,8640.230253601074,1.237275353819132,0.003996605419160915,0.03017578125,-1.0061649084091187,-1.018698811531067,-0.9994407892227173,24626.0001,0.3224512182077179,7645.598484423977,1.0,0.05402429455339194,1236.0338653583754,1.0,0.007994969131853174,183.24249397132246,1.0,-0.0020000000000000013,-45.836000000000034,1.0,-0.0011732821017407548,-26.940670206909534,1.0,-0.0005455472152490478,-12.395976413599767,1.0,-2.2822198662771458e-05,-0.5071192707796695,1.0,-0.0007146217235481904,-19.00539966417505,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1122881355932204,26400.0,0.001853813559322034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28672,7,1,short_2.5D_no_current,8,8,100.0,0.0,0.0,0.0,802.5176726368495,511.0,1.2395411792588025,1.2395411792588025,0.965118604555844,0.998807358288754,0.0,0.0,1.3359541722487989,1.560305167087619,0.5825487064624302,0.5441209824817097,0.549878640913922,0.01810094545439111,0.050422798343374375,0.23545703609243862,0.33205100129026277,0.003775233172552569,0.06642889768540661,0.9987875504373646,0.0,201.9117583000334,142.00262650080273,-0.0022457940329331906,9797.461126708984,1.239395347982645,0.0042002766916994,0.041259765625,-1.0057308673858643,-1.0187954902648926,-0.9991517663002014,28731.0001,0.3395595297929281,9033.717842217467,1.0,0.05358191337251965,1455.0767272252356,1.0,0.007991229221419285,215.9106390284845,1.0,-0.0020000000000000013,-54.01200000000004,1.0,-0.0011666735235689146,-31.710031571259258,1.0,-0.000543104195475741,-14.616186364704596,1.0,-2.2037124709044784e-05,-0.5972070365902445,1.0,-0.0010844727351887811,-23.43872420562679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1741682974559686,31200.0,0.0019569471624266144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32768,8,1,short_2.5D_no_current,7,7,100.0,0.0,0.0,0.0,804.2485339185783,532.8571428571429,1.2335179862205157,1.2335179862205157,0.9666516453525843,0.9993521974023849,0.0,0.0,1.3402975518014275,1.5577632756545268,0.5653310256015212,0.5421133431018179,0.5465301707924665,0.016162137300017324,0.04599265848225574,0.17278957371433915,0.2685098600104228,0.0037038060003537635,0.05595996082594501,0.9993147533756827,0.0,229.22711740003433,142.9499283141755,-0.0003394044586457312,8492.455758666993,1.2393270537257195,0.004156961160333594,0.015283203125,-1.0060021877288818,-1.018843650817871,-0.9967749118804932,32835.000100000005,0.3263248458530743,10250.909517249434,1.0,0.05368417814244474,1655.3187116965544,1.0,0.00799452064002547,245.7302010157795,1.0,-0.0020000000000000013,-61.47200000000005,1.0,-0.0011307710040530476,-35.92780741637713,1.0,-0.0005422647958174444,-16.638834053103665,1.0,-2.2319979216115153e-05,-0.680460559066354,1.0,-0.0009999482585898302,-27.168531210166858,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.126005361930295,35400.0,0.0018766756032171583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36864,9,1,short_2.5D_no_current,6,6,100.0,0.0,0.0,0.0,808.7180444978735,591.5,1.2279573274570812,1.2279573274570812,0.9705996441146972,0.9994926906441844,0.0,0.0,1.358868061826669,1.5562829154966848,0.5642996379043964,0.5482131210185698,0.5543565067369612,0.015312550405607197,0.04713842398461813,0.1724743186259986,0.2808819310341732,0.0032435232134632648,0.05456886839385484,0.9994715024669748,0.0,255.91589409997687,144.04732511689406,-0.00254897121922113,7200.053530883789,1.2356117099523545,0.003984376441076165,0.056201171875,-1.008172869682312,-1.0248233079910278,-0.995250940322876,36938.000100000005,0.2952141304453684,11298.624466200046,1.0,0.05436451852664196,1848.2583879476067,1.0,0.007995595419446088,274.10656915939364,1.0,-0.0020000000000000013,-68.57000000000005,1.0,-0.0011292521803138353,-39.93552340431093,1.0,-0.0005493051825644552,-18.588318146024918,1.0,-1.9314823315042968e-05,-0.7490088670114415,1.0,-0.0010140822680299933,-30.767509179405305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0143702451394758,39000.0,0.0016906170752324597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40960,10,1,short_2.5D_no_current,8,8,100.0,0.0,0.0,0.0,802.296884531149,506.0,1.2400077075621598,1.2400077075621598,0.9643251338982566,0.999620482215883,0.0,0.0,1.3331867912769848,1.5645872158916871,0.5720200809000215,0.5504144754320163,0.54380763093768,0.013078654684835355,0.042545394172161854,0.12735902328204202,0.19969848601612328,0.0036810242005814067,0.04303151840156595,0.9995914896511003,0.0,282.43361299997196,145.0252311151225,-0.0017670725414063782,9554.524740600586,1.2274172931909562,0.0024012260160816367,0.0377685546875,-1.011523723602295,-1.0318020582199097,-0.998481810092926,41043.000100000005,0.3429100628012545,12686.724400419524,1.0,0.05340423095707452,2064.4387148618443,1.0,0.007996555683863073,306.47662656767136,1.0,-0.0020000000000000013,-76.66600000000005,1.0,-0.0011432116142461003,-44.563244018779145,1.0,-0.0005502907754748114,-20.815895205146955,1.0,-2.1839977507290907e-05,-0.8374170959609551,1.0,-0.0007992925865271033,-34.00304556966702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1857707509881423,43800.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
