global_step,update,mode,eval_kind,episode_index,stage_id,stage_label,n_obstacles,seed,return,episode_length,success,collision,out_of_bounds,timeout,event,mission_distance,final_distance,min_distance,progress_total,path_length,path_ratio,path_efficiency,mean_speed,max_speed,mean_surge_speed,mean_abs_roll,max_abs_roll,mean_abs_pitch,max_abs_pitch,mean_abs_heading_error,max_abs_heading_error,mean_cross_track_error,max_cross_track_error,final_path_progress_fraction,mean_min_obstacle_clearance,min_obstacle_clearance,clearance_breach_steps,mean_action_l2,mean_action_delta_l2,mean_guidance_action_l2,mean_guided_action_l2,mean_propeller_rps,mean_abs_propeller_rps,mean_target_alignment,mean_abs_depth_error,mean_current_speed,max_current_speed,reward_total_check,rc_window_mean__progress_reward,rc_cumulative_sum__progress_reward,rc_trigger_rate__progress_reward,rc_window_mean__closing_speed_reward,rc_cumulative_sum__closing_speed_reward,rc_trigger_rate__closing_speed_reward,rc_window_mean__alignment_reward,rc_cumulative_sum__alignment_reward,rc_trigger_rate__alignment_reward,rc_window_mean__step_penalty,rc_cumulative_sum__step_penalty,rc_trigger_rate__step_penalty,rc_window_mean__action_l2_penalty,rc_cumulative_sum__action_l2_penalty,rc_trigger_rate__action_l2_penalty,rc_window_mean__action_smooth_penalty,rc_cumulative_sum__action_smooth_penalty,rc_trigger_rate__action_smooth_penalty,rc_window_mean__roll_penalty,rc_cumulative_sum__roll_penalty,rc_trigger_rate__roll_penalty,rc_window_mean__pitch_penalty,rc_cumulative_sum__pitch_penalty,rc_trigger_rate__pitch_penalty,rc_window_mean__obstacle_clearance_penalty,rc_cumulative_sum__obstacle_clearance_penalty,rc_trigger_rate__obstacle_clearance_penalty,rc_window_mean__orbit_penalty,rc_cumulative_sum__orbit_penalty,rc_trigger_rate__orbit_penalty,rc_window_mean__goal_bonus,rc_cumulative_sum__goal_bonus,rc_trigger_rate__goal_bonus,rc_window_mean__collision_penalty,rc_cumulative_sum__collision_penalty,rc_trigger_rate__collision_penalty,rc_window_mean__out_of_bounds_penalty,rc_cumulative_sum__out_of_bounds_penalty,rc_trigger_rate__out_of_bounds_penalty,rc_window_mean__timeout_penalty,rc_cumulative_sum__timeout_penalty,rc_trigger_rate__timeout_penalty
4096,1,train,,0,1,short_2.5D_no_current,0,,808.794278602782,595,1,0,0,0,goal,42.18210702081949,1.239850447972417,1.239850447972417,40.942256572847064,40.99084601713899,0.9717590919985923,0.9988146269469138,1.3778435636013098,1.5734928883647512,1.3777018816989948,0.0029831200042893737,0.010537592980127908,0.10803192990814516,0.16477615529706213,0.011687413123333872,0.040805767738401943,0.28205830866803194,0.4306543221951916,0.9714507822930759,,,0,0.6154862840335128,0.5594020136107667,0.37537536052595666,0.5751759945782794,24.441972163876944,24.441972163876944,0.9987653017455186,2.50716567236942,0.0,0.0,808.7942786027818,0.2936290673819028,174.70929509223217,1.0,0.05504841219878598,32.75380525827766,1.0,0.007990122413964155,4.754122836308673,1.0,-0.0020000000000000013,-1.1900000000000008,1.0,-0.0012309725680670256,-0.7324286779998802,1.0,-0.0005594020136107668,-0.3328441980984062,1.0,-1.7898719997712367e-05,-0.010649738398638859,1.0,-0.001944574738722373,-1.1570219695398118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0084033613445378,600.0,0.0016806722689075631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,1,1,short_2.5D_no_current,0,,801.2525162492041,485,1,0,0,0,goal,34.04790639672032,1.2402641269898729,1.2402641269898729,32.807642269730415,32.82824182285861,0.964177986168947,0.9993725051362996,1.3537419308395313,1.5706358164969023,1.353656478318454,0.004682640746278231,0.024781305076686078,0.055863886114033395,0.09801707864724873,0.016298355680480135,0.05237008144418542,0.15849217948109182,0.283179691849315,0.963899491696348,,,0,0.6166532831381738,0.5045243979028435,0.3614605260878494,0.559060518796911,24.082406336548743,24.082406336548743,0.9993387019098358,1.0811305059644973,0.0,0.0,801.2525162492041,0.357614710305748,173.44313449828778,1.0,0.054115698589246086,26.24611381578435,1.0,0.007994709615278683,3.877434163410161,1.0,-0.0020000000000000013,-0.9700000000000008,1.0,-0.001233306566276347,-0.5981536846440283,1.0,-0.0005045243979028433,-0.244694332982879,1.0,-2.8095844442195244e-05,-0.013626484554464694,1.0,-0.0010055499507152699,-0.4876917260969059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2371134020618557,600.0,0.002061855670103093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,2,1,short_2.5D_no_current,0,,803.587361149205,512,1,0,0,0,goal,36.20226642447906,1.2292295893270884,1.2292295893270884,34.973036835151994,34.989116845005256,0.9664896787054883,0.9995404282444591,1.3667623767580181,1.567484785168882,1.3667072207324262,0.004098999153272281,0.020271108808256333,0.04660545685740339,0.07726275803833849,0.01691630147598323,0.05398755671407107,0.13743617791678403,0.21819016730043447,0.9663240892521745,,,0,0.6256840365167591,0.5196824904596724,0.36502675486553926,0.5644597850332502,24.288127087020648,24.288127087020648,0.9994204743165834,0.9785621808432714,0.0,0.0,803.587361149205,0.33962537367672674,173.8881913224841,1.0,0.05464537005492494,27.97842946812157,1.0,0.007995363794532674,4.093626262800729,1.0,-0.0020000000000000013,-1.0240000000000007,1.0,-0.001251368073033518,-0.6407004533931612,1.0,-0.0005196824904596723,-0.2660774351153522,1.0,-2.4593994954756228e-05,-0.012592125416835189,1.0,-0.0008388982231954286,-0.42951589027605946,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.171875,600.0,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,3,1,short_2.5D_no_current,0,,811.3145333542477,612,1,0,0,0,goal,43.81314143621752,1.2461234161393058,1.2461234161393058,42.56701802007821,42.576014598212495,0.9717635668785354,0.9997886937464866,1.39137302608538,1.5754481545116616,1.3913309698101866,0.003984267354891015,0.021597125207469592,0.01847546640677888,0.06547455889945519,0.011051661835911598,0.03181204816158978,0.10866745067297094,0.1833710492181884,0.9716181030308982,,,0,0.6213513358627002,0.5095181618577472,0.3721121427743069,0.5729998831022409,24.653205659808,24.653205659808,0.9997861861485003,0.43897716745068144,0.0,0.0,811.3145333542479,0.28575241975291715,174.8804808887853,1.0,0.055643160810559734,34.05361441606256,1.0,0.007998289489187996,4.894953167383053,1.0,-0.0020000000000000013,-1.2240000000000009,1.0,-0.0012427026717253995,-0.7605340350959445,1.0,-0.0005095181618577466,-0.31182511505694094,1.0,-2.3905604140001005e-05,-0.014630229733680616,1.0,-0.00033255839558245573,-0.2035257380964629,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9803921568627451,600.0,0.0016339869281045752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,4,1,short_2.5D_no_current,0,,807.2584051510975,566,1,0,0,0,goal,40.265046883689,1.2483066303536496,1.2483066303536496,39.01674025333531,39.031529805494564,0.9693650653938733,0.9996210870485244,1.3792060001941535,1.5801299274783678,1.3791443450166272,0.0026623151165580013,0.0064320546684553115,0.07245392858404004,0.10811312038413545,0.014084231767491595,0.04041103393152312,0.1351748225766268,0.23484998188187117,0.9691644954098322,,,0,0.6286218208869649,0.5474697228557308,0.3685916102106285,0.5710957801173516,24.470531719106013,24.470531719106013,0.9995772269726915,1.5560976016828822,0.0,0.0,807.2584051510977,0.30816183193438146,174.4195968748599,1.0,0.05514733604711711,31.21339220266828,1.0,0.00799661781578153,4.526085683732346,1.0,-0.0020000000000000013,-1.1320000000000008,1.0,-0.0012572436417739288,-0.7115999012440437,1.0,-0.0005474697228557305,-0.3098678631363435,1.0,-1.597389069150015e-05,-0.009041222131389085,1.0,-0.0013041707131643066,-0.7381606236509975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0600706713780919,600.0,0.0017667844522968198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,5,1,short_2.5D_no_current,0,,803.7024896878453,516,1,0,0,0,goal,36.2361048276954,1.2305814917738949,1.2305814917738949,35.00552333592154,35.01664691664277,0.9663468820158454,0.9996823344979962,1.3572343766140609,1.59084827957621,1.3571883233139754,0.004304496905148363,0.024587812542710807,0.03652747851517498,0.06312533286842514,0.011580690832929124,0.03601922432021487,0.12266933057338808,0.1621213722155373,0.9662121116949233,,,0,0.6196058668708789,0.5652058534495633,0.3619427844564351,0.5591126220777284,24.119352665714167,24.119352665714167,0.9996514502305897,0.772563564048089,0.0,0.0,803.7024896878456,0.33699066521457927,173.8871832507229,1.0,0.054272129202979115,28.004418668737223,1.0,0.007997211601844708,4.12656118655187,1.0,-0.0020000000000000013,-1.0320000000000007,1.0,-0.001239211733741758,-0.6394332546107471,1.0,-0.0005652058534495635,-0.29164622037997473,1.0,-2.582698145643852e-05,-0.013326722431522275,1.0,-0.0006574946138452809,-0.33926722074416493,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1627906976744187,600.0,0.001937984496124031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,6,1,short_2.5D_no_current,0,,800.7940361839636,477,1,0,0,0,goal,33.48340660748359,1.2266735959025017,1.2266735959025017,32.2567330115811,32.26967155937499,0.9637511480735259,0.9995990492878087,1.3530260611897296,1.571414218644654,1.3529683025080788,0.003038259717898193,0.011526654281128312,0.04671646898997018,0.09517352417328073,0.019387139322531947,0.05285161585066289,0.1291952945016127,0.2586578933485829,0.9634605895473236,,,0,0.6293189792378378,0.559903918568287,0.35980284952829966,0.5578902433128476,24.078360704119095,24.078360704119095,0.9995402794884756,0.847910464000912,0.0,0.0,800.7940361839637,0.3635338608922005,173.40565164557964,1.0,0.054099342577075285,25.805386409264912,1.0,0.007996322235907804,3.8142457065280224,1.0,-0.0020000000000000013,-0.9540000000000007,1.0,-0.0012586379584756749,-0.6003703061928969,1.0,-0.0005599039185682867,-0.26707416915707277,1.0,-1.8229558293669536e-05,-0.008695499306080368,1.0,-0.0008408964418296534,-0.4011076027527447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2578616352201257,600.0,0.0020964360587002098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,2,train,,0,1,short_2.5D_no_current,0,,807.6048208550607,568,1,0,0,0,goal,40.22695688999995,1.2357386520516196,1.2357386520516196,38.99121823794839,39.007393267352555,0.9696829261536668,0.9995853342648824,1.373499762934947,1.5761934000825135,1.3734334358688782,0.00367037289252384,0.01669123298530195,0.048985864828686415,0.08560494026235732,0.013928317300683104,0.04707029631156434,0.14106847498429115,0.20810932563853868,0.9695249189801096,,,0,0.5948479128747353,0.48514958689953397,0.369016230001416,0.5639663512726695,24.381933287628065,24.381933287628065,0.9995485994822675,1.0867087973887226,0.0,0.0,807.6048208550606,0.30716646080395643,174.47054973664726,1.0,0.054917208785842754,31.192974590358684,1.0,0.007996388795858147,4.541948836047427,1.0,-0.0020000000000000013,-1.1360000000000008,1.0,-0.0011896958257494703,-0.6757472290256992,1.0,-0.0004851495868995336,-0.2755649653589351,1.0,-2.202223735075292e-05,-0.01250863081522766,1.0,-0.0008817455682974851,-0.5008314827929715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056338028169014,600.0,0.0017605633802816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,2,train,,1,1,short_2.5D_no_current,0,,799.2427745898976,462,1,0,0,0,goal,32.085549833121505,1.2470738119365314,1.2470738119365314,30.83847602118498,30.854269157976717,0.9616250716740483,0.9994881377124546,1.3356826475314605,1.564537773768272,1.3356115446365837,0.0030070268693069614,0.011325746448296314,0.04444208615315062,0.07066801766746433,0.016982604747103416,0.04739280866067874,0.11822401466866782,0.18825048730700072,0.9614163802986972,,,0,0.6111123822750403,0.5605455733859888,0.3572767648152459,0.5501911446081225,23.797961584988247,23.797961584988247,0.999360434202049,0.8209291039722066,0.0,0.0,799.2427745898976,0.37446734496042844,173.00391337171794,1.0,0.05339995847824236,24.67078081694797,1.0,0.007994883473616396,3.693636164810775,1.0,-0.0020000000000000013,-0.9240000000000007,1.0,-0.0012222247645500815,-0.5646678412221376,1.0,-0.0005605455733859881,-0.2589720549043265,1.0,-1.8042161190489953e-05,-0.008335478470006359,1.0,-0.0007999575519102761,-0.3695803889825475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2987012987012987,600.0,0.0021645021645021645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,2,train,,2,1,short_2.5D_no_current,0,,811.6805284874888,626,1,0,0,0,goal,44.460383683818165,1.2348691107351704,1.2348691107351704,43.22551457308301,43.23880707680594,0.9725243800031166,0.9996925793142412,1.3814315360001885,1.5594478167402228,1.3813796498392803,0.0040359904306996545,0.022673199653316267,0.05088582525999257,0.0876238049815603,0.012063620660921566,0.03534144216964741,0.12919585131689074,0.21680659422922116,0.9723372933897425,,,0,0.5900869748336427,0.5229443822371455,0.37301476773457787,0.5666130956726524,24.476619673794833,24.476619673794833,0.9996478642268828,1.2398998673068429,0.0,0.0,811.6805284874888,0.27955363108695463,175.0005730604336,1.0,0.05524027421480262,34.58041165846644,1.0,0.007997182913815052,5.006236504048222,1.0,-0.0020000000000000013,-1.252000000000001,1.0,-0.0011801739496672865,-0.7387888924917214,1.0,-0.0005229443822371454,-0.327363183280453,1.0,-2.421594263607416e-05,-0.015159180090182424,1.0,-0.0009159448555863714,-0.5733814795970685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9584664536741214,600.0,0.001597444089456869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
