global_step,update,stage_id,stage_label,episodes,successes,success_rate,collision_rate,out_of_bounds_rate,timeout_rate,mean_return,mean_len,mean_final_distance,mean_min_distance,mean_path_ratio,mean_path_efficiency,mean_min_obstacle_clearance,min_obstacle_clearance,mean_speed,max_speed_mean,mean_action_l2,mean_action_delta_l2,mean_guided_action_l2,mean_abs_heading_error,max_abs_heading_error_mean,mean_cross_track_error,max_cross_track_error_mean,mean_abs_roll,mean_abs_pitch,mean_target_alignment,mean_current_speed,elapsed_sec,steps_per_sec,policy_loss,value_loss,entropy,approx_kl,clipfrac,log_std_mean,log_std_min,log_std_max,obs_rms_count,rc_window_mean__progress_reward,rc_cumulative_sum__progress_reward,rc_trigger_rate__progress_reward,rc_window_mean__closing_speed_reward,rc_cumulative_sum__closing_speed_reward,rc_trigger_rate__closing_speed_reward,rc_window_mean__alignment_reward,rc_cumulative_sum__alignment_reward,rc_trigger_rate__alignment_reward,rc_window_mean__step_penalty,rc_cumulative_sum__step_penalty,rc_trigger_rate__step_penalty,rc_window_mean__action_l2_penalty,rc_cumulative_sum__action_l2_penalty,rc_trigger_rate__action_l2_penalty,rc_window_mean__action_smooth_penalty,rc_cumulative_sum__action_smooth_penalty,rc_trigger_rate__action_smooth_penalty,rc_window_mean__roll_penalty,rc_cumulative_sum__roll_penalty,rc_trigger_rate__roll_penalty,rc_window_mean__pitch_penalty,rc_cumulative_sum__pitch_penalty,rc_trigger_rate__pitch_penalty,rc_window_mean__obstacle_clearance_penalty,rc_cumulative_sum__obstacle_clearance_penalty,rc_trigger_rate__obstacle_clearance_penalty,rc_window_mean__orbit_penalty,rc_cumulative_sum__orbit_penalty,rc_trigger_rate__orbit_penalty,rc_window_mean__goal_bonus,rc_cumulative_sum__goal_bonus,rc_trigger_rate__goal_bonus,rc_window_mean__collision_penalty,rc_cumulative_sum__collision_penalty,rc_trigger_rate__collision_penalty,rc_window_mean__out_of_bounds_penalty,rc_cumulative_sum__out_of_bounds_penalty,rc_trigger_rate__out_of_bounds_penalty,rc_window_mean__timeout_penalty,rc_cumulative_sum__timeout_penalty,rc_trigger_rate__timeout_penalty,rc_window_mean__timeout_distance_penalty,rc_cumulative_sum__timeout_distance_penalty,rc_trigger_rate__timeout_distance_penalty
4096,1,1,short_2.5D_no_current,7,7,100.0,0.0,0.0,0.0,806.0171967680727,539.4285714285714,1.2379558029911628,1.2379558029911628,0.9682813514139347,0.9995538117751555,0.0,0.0,1.391834161883809,1.5754523938249185,0.6223869318624465,0.5385043282999001,0.5732142395916752,0.013504837062848926,0.04162470140697648,0.13887661733217896,0.2349710553714613,0.00369104524294933,0.05039438453660193,0.9995375416684954,0.0,27.292207599966787,150.07946810447774,-0.0018889448314439506,8971.140258789062,1.253849347680807,0.004693967700586654,0.0201416015625,-1.00193452835083,-1.005977749824524,-0.999235212802887,4104.0001,0.32295812401805585,1219.489876292179,1.0,0.05568191303715778,210.2549036283078,1.0,0.007996282260813342,30.193961816831177,1.0,-0.0020000000000000013,-7.552000000000005,1.0,-0.0012446729362952395,-4.699885007450824,1.0,-0.0005386366171114171,-2.033891866212711,1.0,-2.1937770228213302e-05,-0.08283702038173343,1.0,-0.0009135991702233869,-3.449750466763509,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1122881355932204,4200.0,0.001853813559322034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,2,1,short_2.5D_no_current,7,7,100.0,0.0,0.0,0.0,804.2507323517132,515.7142857142857,1.2346079300075359,1.2346079300075359,0.9664226269261055,0.9996650173914092,0.0,0.0,1.3802775310741713,1.5735791821619092,0.608265603983435,0.526086948804665,0.565687118192732,0.014563048205445777,0.04854615270892288,0.11214765528781752,0.19781218741907597,0.0035060335072522666,0.03468057006565901,0.9996226952880141,0.0,54.19079640007112,151.16958126102108,-0.0007845201296731829,8982.171005249023,1.2465195633471011,0.0029746668660664,0.028955078125,-1.0049861669540405,-1.0110725164413452,-1.0001345872879028,8208.000100000001,0.3371979938957827,2436.7746342559544,1.0,0.05525431538374284,409.72298216361946,1.0,0.007997005322007044,59.063151029276604,1.0,-0.0020000000000000018,-14.772000000000011,1.0,-0.0012154264067522822,-9.087574335826563,1.0,-0.0005248710268276417,-3.9286762730604976,1.0,-2.1131128714980465e-05,-0.15912039504281292,1.0,-0.000633834387716366,-5.7378926064195905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1634349030470914,8400.0,0.0019390581717451524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12288,3,1,short_2.5D_no_current,8,8,100.0,0.0,0.0,0.0,802.7275847509111,498.25,1.2342886298664915,1.2342886298664915,0.9643103794168016,0.9996036521412094,0.0,0.0,1.3699487049541772,1.572235046942606,0.6003539795873183,0.5221439666066587,0.5588205891704491,0.017631048597398048,0.052980060624195524,0.15474035881328424,0.26131531055824925,0.0037776503505588034,0.03433346117645609,0.9995778112807561,0.0,80.55625240004156,152.53937011590253,-0.0022765969712054356,10190.053109741211,1.2432652361691,0.005108044458029326,0.04130859375,-1.0038808584213257,-1.0077615976333618,-1.0011301040649414,12313.000100000001,0.3482330489234398,3824.8315672647855,1.0,0.05499020530976295,628.9139405283346,1.0,0.00799667093967684,90.9378813948285,1.0,-0.0020000000000000013,-22.744000000000018,1.0,-0.0012036898451092304,-13.885482058431956,1.0,-0.0005229488087369013,-6.013150224685786,1.0,-2.226954657953495e-05,-0.24788680770883922,1.0,-0.0005917701066012213,-8.096688251332058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2042147516307076,13200.0,0.002007024586051179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16384,4,1,short_2.5D_no_current,8,8,100.0,0.0,0.0,0.0,801.7608022875322,484.625,1.233817482448707,1.233817482448707,0.9649547476175434,0.9991697267579884,0.0,0.0,1.380399985831118,1.5778372264864016,0.6398556126253042,0.5314372128259505,0.5699051437180069,0.023063026947277583,0.058507629869586686,0.23498520374471996,0.3595748181838461,0.003937263400134023,0.06426362762968842,0.9991574157130658,0.0,107.28415880003013,152.71592920384998,-0.0009296315634856001,10105.826330566406,1.2437909558415412,0.0016957260999333813,0.022021484375,-1.0051301717758179,-1.0077776908874512,-1.0021995306015015,16418.0001,0.3581071970849061,5213.213170362967,1.0,0.055214752131027264,842.9815345403273,1.0,0.007993366403503645,121.92816294121212,1.0,-0.0020000000000000013,-30.498000000000022,1.0,-0.001279623922828257,-18.84658400723711,1.0,-0.0005313692380337758,-8.073268760542735,1.0,-2.3472950511828593e-05,-0.33889143684319867,1.0,-0.0011572956519227057,-12.583523493836388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2380706732009286,18000.0,0.0020634511220015478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20480,5,1,short_2.5D_no_current,8,8,100.0,0.0,0.0,0.0,802.9293526491492,500.25,1.2259584866282338,1.2259584866282338,0.9664802346703947,0.9988450377658138,0.0,0.0,1.3850993175082902,1.5764532808324252,0.6378020404318427,0.5297761603298339,0.5718070635405188,0.02474889612763083,0.062250712929285135,0.30271105213609356,0.4455818595291,0.0037279895274021065,0.07007400003199613,0.998869206191143,0.0,133.4336891999701,153.48447699222115,-0.0027197093411814423,10006.25626525879,1.2394135430455209,0.005916716997307958,0.0460205078125,-1.0065726041793823,-1.0105034112930298,-0.9994329214096069,20523.0001,0.34735688669568804,6603.33543091911,1.0,0.055412296553127294,1064.7415453459428,1.0,0.007990732062547556,153.90707265552743,1.0,-0.0020000000000000013,-38.502000000000024,1.0,-0.0012757981238155523,-23.95232809874695,1.0,-0.0005298480441747723,-10.193720633330173,1.0,-2.254996670215588e-05,-0.4291364035852265,1.0,-0.0012758418170516655,-17.68944244567715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199400299850075,22800.0,0.001999000499750125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24576,6,1,short_2.5D_no_current,7,7,100.0,0.0,0.0,0.0,804.7805194129338,523.0,1.2329296688734563,1.2329296688734563,0.9669120814770077,0.9994064428272917,0.0,0.0,1.387586939399556,1.574371818711328,0.6217413409412614,0.5240343058665481,0.5702204943114496,0.015045734856813287,0.05339123580121731,0.1763215251264337,0.29400092295377384,0.00391311221817006,0.04745953434205884,0.9994205118387381,0.0,159.68821479997132,153.8998981908865,-0.0013830583106027917,8682.5431350708,1.239257088303566,0.0022918653114174957,0.017041015625,-1.005253791809082,-1.0130174160003662,-0.9958928227424622,24627.0001,0.3325827454706203,7820.92086208705,1.0,0.05560640656869914,1268.3165997939504,1.0,0.007995253127233395,183.17769435432888,1.0,-0.0020000000000000013,-45.82400000000003,1.0,-0.0012423892094598763,-28.500714994579557,1.0,-0.000522742460897687,-12.107480782676605,1.0,-2.3670567315634817e-05,-0.5157943505277656,1.0,-0.000845852617342798,-20.786108877769134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.147227533460803,27000.0,0.0019120458891013384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28672,7,1,short_2.5D_no_current,8,8,100.0,0.0,0.0,0.0,802.087242143358,491.0,1.226220329834558,1.226220329834558,0.9643190301488808,0.9993902184782734,0.0,0.0,1.3688757916031191,1.5773538194169152,0.6070899068288145,0.527616533450302,0.5609626865366952,0.017878432285095523,0.04597491519392871,0.17054931023254585,0.2596848083297033,0.00416503579051454,0.05507439780810992,0.9993891688312353,0.0,185.87544199998956,154.25383628678398,-0.001923625625204295,9851.493884277344,1.238251432776451,0.0029790494401822796,0.02802734375,-1.0074504613876343,-1.0121095180511475,-1.0007224082946777,28732.0001,0.35330334968513355,9208.696419650256,1.0,0.054933517624572034,1484.0954570232693,1.0,0.007995491134921835,214.58398353230183,1.0,-0.0020000000000000013,-53.680000000000035,1.0,-0.0012152423608158029,-33.27418698786403,1.0,-0.0005254021409298306,-14.17126039224898,1.0,-2.4187444866812968e-05,-0.6108026339646069,1.0,-0.0008845486093017935,-24.26061581510658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2219959266802445,31800.0,0.002036659877800407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32768,8,1,short_2.5D_no_current,7,7,100.0,0.0,0.0,0.0,805.0174736181128,528.1428571428571,1.231461812531671,1.231461812531671,0.9673129515445512,0.9994736075943905,0.0,0.0,1.3849343747127132,1.5754814229150134,0.6081249566300034,0.5249105414666496,0.5673734079628497,0.01767899455506904,0.05798985803214464,0.16199452247024596,0.2605794598811542,0.003877258515728249,0.057660419718335944,0.9994422804824069,0.0,212.27960750006605,154.36244859266478,-0.0009218991850502789,8529.752076721192,1.2327004060149194,0.0020569116040860536,0.022900390625,-1.0087710618972778,-1.0136076211929321,-1.0010441541671753,32836.000100000005,0.3295029813334937,10426.868941640183,1.0,0.05547171740282509,1689.1743962615137,1.0,0.007995491501474869,244.14331561325443,1.0,-0.0020000000000000013,-61.07400000000004,1.0,-0.0012173017942231255,-37.774551721106924,1.0,-0.0005250098858690426,-16.11222194030683,1.0,-2.3265563405746822e-05,-0.6968154218756528,1.0,-0.0010189718455828965,-28.027754728226547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1360562618339194,36000.0,0.0018934271030565323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36864,9,1,short_2.5D_no_current,7,7,100.0,0.0,0.0,0.0,808.6941581058206,576.4285714285714,1.2388287390008592,1.2388287390008592,0.9703464182999494,0.9994738816215659,0.0,0.0,1.397526669709587,1.5765285251232253,0.6050390165372187,0.5226898169217563,0.5725711518391609,0.01498985240039088,0.0470378938835218,0.1707200879918554,0.2540997638316968,0.0035857186896194465,0.05161559970099351,0.9994424921785591,0.0,238.6241857999703,154.48559782997734,-0.0011286194756394252,8425.08902282715,1.2279673732817173,0.005583697932524956,0.03349609375,-1.0108553171157837,-1.0173447132110596,-1.0014454126358032,36940.000100000005,0.3028481138080946,11648.861080855844,1.0,0.05592463306412775,1914.8302906752692,1.0,0.007995383451238312,276.40468783900104,1.0,-0.0020000000000000013,-69.14400000000005,1.0,-0.0012114714762067843,-42.6628391276013,1.0,-0.0005231178293235156,-18.223002381627218,1.0,-2.1306176644499442e-05,-0.782785844636208,1.0,-0.0009653682388711714,-31.923015572071723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0408921933085502,40200.0,0.001734820322180917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40960,10,1,short_2.5D_no_current,8,8,100.0,0.0,0.0,0.0,800.3145193665204,471.125,1.2373088460932005,1.2373088460932005,0.9620367754694094,0.9993865263536508,0.0,0.0,1.3546498313094937,1.5704698563617372,0.591216901190864,0.5343134448299419,0.5517545847418028,0.01610912097762144,0.048395389772755815,0.16548190350033368,0.2580877058408542,0.003623050803485397,0.038561831794295016,0.9993562683676136,0.0,264.6402131000068,154.77617524635733,-0.0007968147750943899,9618.071649169922,1.2206622213125229,0.003235729909283691,0.0160888671875,-1.0134905576705933,-1.0203558206558228,-1.0025513172149658,41045.000100000005,0.36733362842931827,13033.341526405944,1.0,0.054338350700367764,2119.631534464955,1.0,0.007994550410921068,306.53614833776254,1.0,-0.0020000000000000013,-76.68200000000006,1.0,-0.001181235302273015,-47.114914981868296,1.0,-0.0005338497271189693,-20.235082003138615,1.0,-2.157755042244556e-05,-0.8641116321784054,1.0,-0.0007464880984518995,-34.73652921513693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2735473600424516,45000.0,0.0021225789334040858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
