iteration,total_timesteps,time_elapsed_sec,fps,episodes_total,successes_total,success_rate_window,success_rate_total,goal_count,collision_count,out_of_bounds_count,timeout_count,other_terminal_count,ep_rew_mean,ep_len_mean,approx_kl,clip_fraction,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,std,value_loss
1,2048,4,430,2,0,0.0,0.0,0,0,2,0,0,-26.812548,560.5,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
2,4096,11,360,5,0,0.0,0.0,0,0,5,0,0,-49.828671,715.6,0.008215159177780151,0.0671875,-4.255700975656509,0.16566169261932373,0.0003,-0.050100814551115036,10,-0.007474664266919717,0.9988839030265808,0.5977549395174719
3,6144,18,339,7,0,0.0,0.0,0,0,6,1,0,-52.52135314285714,837.0,0.009761471301317215,0.090576171875,-4.25897818505764,-0.009232044219970703,0.0003,0.027646318078041077,20,-0.009979675033537205,1.0039317607879639,0.3083615202980582
4,8192,25,327,11,0,0.0,0.0,0,0,9,2,0,-57.494143,742.5454545454545,0.01032242551445961,0.118701171875,-4.283340936899185,0.5182667374610901,0.0003,-0.05233802646398544,30,-0.010115953157946934,1.0129294395446777,0.13736312757246197
5,10240,32,319,12,0,0.0,0.0,0,0,9,3,0,-49.0881885,780.6666666666666,0.008560266345739365,0.087548828125,-4.298660261929035,0.4643647074699402,0.0003,0.06725764274597168,40,-0.00825789706868818,1.0167222023010254,0.40458863106323406
6,12288,38,315,15,0,0.0,0.0,0,0,11,4,0,-42.89870173333334,815.4,0.010066698305308819,0.13154296875,-4.3101411506533625,0.8628295063972473,0.0003,-0.034942589700222015,50,-0.015381935810728465,1.0193047523498535,0.02072713626548648
7,14336,45,315,17,0,0.0,0.0,0,0,12,5,0,-41.906345470588235,803.4705882352941,0.010680664330720901,0.102685546875,-4.350896246731281,0.5577374696731567,0.0003,-0.020638493821024895,60,-0.01470522309828084,1.042665958404541,0.24046140542486683
8,16384,52,314,19,0,0.0,0.0,0,0,13,6,0,-42.34981473684211,824.2631578947369,0.010305040515959263,0.111474609375,-4.389405490458012,0.7062721252441406,0.0003,-0.06545872986316681,70,-0.015059371577808633,1.0472509860992432,0.11287775538221467
9,18432,58,313,22,0,0.0,0.0,0,0,15,7,0,-50.37603463636365,831.0454545454545,0.009123709052801132,0.1029296875,-4.404234583675861,0.7343853116035461,0.0003,-0.0295509435236454,80,-0.010920303873717785,1.0533294677734375,0.15457780575961805
10,20480,65,312,24,0,0.0,0.0,0,0,16,8,0,-50.394176249999994,838.0,0.010939598083496094,0.107177734375,-4.437651933729649,0.8228039741516113,0.0003,-0.03399921581149101,90,-0.015347647879389114,1.066033124923706,0.20562539960374124
11,22528,72,311,28,0,0.0,0.0,0,0,20,8,0,-57.40209325,794.1428571428571,0.011197153478860855,0.123876953125,-4.456321506202221,0.603213906288147,0.0003,0.027828853577375412,100,-0.012081142951501533,1.071030855178833,0.16343021958891768
12,24576,79,309,31,0,0.0,0.0,0,0,23,8,0,-66.74878380645161,781.0322580645161,0.008344588801264763,0.070068359375,-4.463318212330341,0.45252346992492676,0.0003,0.019970353692770004,110,-0.006101845507510006,1.070844292640686,0.27105318105896004
13,26624,86,308,37,0,0.0,0.0,0,0,29,8,0,-68.7831144864865,717.3783783783783,0.0082481037825346,0.12353515625,-4.487820659577847,0.4273134469985962,0.0003,0.3354215919971466,120,-0.0151056148664793,1.087245225906372,0.26019863262190485
14,28672,93,307,39,0,0.0,0.0,0,0,31,8,0,-69.8041926923077,716.1282051282051,0.010494011454284191,0.087939453125,-4.535076935589314,0.49396204948425293,0.0003,0.059860557317733765,130,-0.013806471189309378,1.1064156293869019,0.4952550633810461
15,30720,100,305,42,0,0.0,0.0,0,0,32,10,0,-71.22198066666667,729.8095238095239,0.011273879557847977,0.1236328125,-4.55899738818407,0.7760254144668579,0.0003,-0.044801414012908936,140,-0.014706593216396868,1.1044981479644775,0.12826877596089617
16,32768,107,305,46,0,0.0,0.0,0,0,36,10,0,-76.16758095652173,708.695652173913,0.008993415161967278,0.10341796875,-4.55303368717432,0.805008590221405,0.0003,-0.03572465851902962,150,-0.010934453434310853,1.102522373199463,0.08594471693213564
17,34816,113,305,47,0,0.0,0.0,0,0,37,10,0,-76.98845621276594,718.7021276595744,0.01177882682532072,0.109765625,-4.555079859495163,0.8099001049995422,0.0003,-0.029544079676270485,160,-0.0155477858701488,1.105741024017334,0.11518301794712897
18,36864,120,305,51,0,0.0,0.0,0,0,39,12,0,-75.29925947058824,715.6274509803922,0.006471193395555019,0.074658203125,-4.572020135819912,0.7869415283203125,0.0003,-0.039554253220558167,170,-0.007026994122134056,1.1156549453735352,0.08937544847431127
19,38912,127,305,53,0,0.0,0.0,0,0,39,14,0,-72.40714239622642,733.9056603773585,0.010920011438429356,0.092529296875,-4.602906516194343,0.7223330140113831,0.0003,0.050282806158065796,180,-0.010172124864766374,1.1268932819366455,0.12137875450134743
20,40960,133,305,55,0,0.0,0.0,0,0,40,15,0,-71.6349888909091,733.2545454545455,0.009827177971601486,0.12294921875,-4.607168480753899,0.894131064414978,0.0003,-0.06998134404420853,190,-0.017082519669202156,1.1227471828460693,0.03731179340102244
21,43008,140,305,59,0,0.0,0.0,0,0,43,16,0,-72.34144852542373,722.8813559322034,0.008296243846416473,0.08759765625,-4.627953073382377,0.882172167301178,0.0003,-0.025984153151512146,200,-0.008378214592812582,1.1393471956253052,0.09700075535220094
22,45056,147,305,61,0,0.0,0.0,0,0,44,17,0,-73.39844321311475,731.2786885245902,0.009417394176125526,0.0859375,-4.668109352886677,0.475303590297699,0.0003,-0.04164431244134903,210,-0.011388768028700725,1.155344843864441,0.20844187729526312
